Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
60578187,3.7,l,1377293915.37,2013/08/23 21:38:35,2013/08/23 14:38:35 PDT,"20.3 km from Mt St Helens, WA",46.3222,-122.3847,13.7,8.5
60578337,3.6,l,1377306488.34,2013/08/24 01:08:08,2013/08/23 18:08:08 PDT,"20.4 km from Mt St Helens, WA",46.3243,-122.3838,13.6,8.4
60578342,3.1,l,1377306768.42,2013/08/24 01:12:48,2013/08/23 18:12:48 PDT,"20.4 km from Mt St Helens, WA",46.3263,-122.3822,13.2,8.2
60578217,2.1,l,1377296150.66,2013/08/23 22:15:50,2013/08/23 15:15:50 PDT,"20.5 km from Mt St Helens, WA",46.3245,-122.3857,12.3,7.6
60578277,2.0,l,1377302306.99,2013/08/23 23:58:26,2013/08/23 16:58:26 PDT,"20.7 km from Mt St Helens, WA",46.3222,-122.3922,11.9,7.3
60578537,1.9,l,1377324374.47,2013/08/24 06:06:14,2013/08/23 23:06:14 PDT,"19.9 km from Mt St Helens, WA",46.317,-122.3855,12.5,7.8
60578602,1.8,l,1377350849.09,2013/08/24 13:27:29,2013/08/24 06:27:29 PDT,"20.0 km from Mt St Helens, WA",46.3235,-122.3778,12.8,7.9
60578542,1.6,l,1377327073.6,2013/08/24 06:51:13,2013/08/23 23:51:13 PDT,"18.4 km from Mt St Helens, WA",46.3102,-122.3677,12.3,7.7
60578232,1.6,l,1377297246.12,2013/08/23 22:34:06,2013/08/23 15:34:06 PDT,"19.7 km from Mt St Helens, WA",46.319,-122.3797,12.5,7.7
60578347,1.5,l,1377306837.38,2013/08/24 01:13:57,2013/08/23 18:13:57 PDT,"19.8 km from Mt St Helens, WA",46.318,-122.3822,12.4,7.7
60578357,1.3,d,1377307231.14,2013/08/24 01:20:31,2013/08/23 18:20:31 PDT,"20.6 km from Mt St Helens, WA",46.3225,-122.3903,12.7,7.9
60576762,1.2,l,1377135222.3,2013/08/22 01:33:42,2013/08/21 18:33:42 PDT,"20.1 km from Mt St Helens, WA",46.3182,-122.3867,12.5,7.7
60576202,1.2,l,1377066779.17,2013/08/21 06:32:59,2013/08/20 23:32:59 PDT,"19.9 km from Mt St Helens, WA",46.3197,-122.3815,12.5,7.8
60580812,1.2,l,1377666287.4,2013/08/28 05:04:47,2013/08/27 22:04:47 PDT,"20.8 km from Mt St Helens, WA",46.324,-122.3915,11.9,7.4
60578397,1.2,l,1377309453.77,2013/08/24 01:57:33,2013/08/23 18:57:33 PDT,"19.6 km from Mt St Helens, WA",46.325,-122.3683,13.1,8.1
60578572,1.2,l,1377338408.68,2013/08/24 10:00:08,2013/08/24 03:00:08 PDT,"19.5 km from Mt St Helens, WA",46.3205,-122.3730,13.2,8.2
60580122,1.2,l,1377545865.61,2013/08/26 19:37:45,2013/08/26 12:37:45 PDT,"19.6 km from Mt St Helens, WA",46.3218,-122.3732,12.1,7.5
60578452,1.1,l,1377312462.73,2013/08/24 02:47:42,2013/08/23 19:47:42 PDT,"19.3 km from Mt St Helens, WA",46.3215,-122.3683,12.6,7.8
60578487,1.0,l,1377315613.34,2013/08/24 03:40:13,2013/08/23 20:40:13 PDT,"19.7 km from Mt St Helens, WA",46.3253,-122.3703,12.9,8.0
60578332,1.0,l,1377306437.05,2013/08/24 01:07:17,2013/08/23 18:07:17 PDT,"18.9 km from Mt St Helens, WA",46.3082,-122.3787,12.9,8.0
60578197,0.9,l,1377294732.99,2013/08/23 21:52:12,2013/08/23 14:52:12 PDT,"18.0 km from Mt St Helens, WA",46.3083,-122.3637,12.5,7.8
60578447,0.9,l,1377312188.53,2013/08/24 02:43:08,2013/08/23 19:43:08 PDT,"17.4 km from Mt St Helens, WA",46.3073,-122.3535,13.8,8.5
60578377,0.8,l,1377308424.08,2013/08/24 01:40:24,2013/08/23 18:40:24 PDT,"19.0 km from Mt St Helens, WA",46.3247,-122.3570,13.9,8.6
60578917,0.8,l,1377400944.21,2013/08/25 03:22:24,2013/08/24 20:22:24 PDT,"18.0 km from Mt St Helens, WA",46.3113,-122.3585,14.4,8.9
60579797,0.8,l,1377511495.86,2013/08/26 10:04:55,2013/08/26 03:04:55 PDT,"0.9 km from Mt St Helens, WA",46.1995,-122.1802,1.4,0.8
60578597,0.8,l,1377344680.3,2013/08/24 11:44:40,2013/08/24 04:44:40 PDT,"20.2 km from Mt St Helens, WA",46.3227,-122.3833,12.2,7.6
60580407,0.7,l,1377611607.81,2013/08/27 13:53:27,2013/08/27 06:53:27 PDT,"0.7 km from Mt St Helens, WA",46.197,-122.1827,1.2,0.7
60576537,0.7,l,1377112530.01,2013/08/21 19:15:30,2013/08/21 12:15:30 PDT,"17.5 km from Mt St Helens, WA",46.3075,-122.3552,12.6,7.8
60578407,0.7,l,1377310167.54,2013/08/24 02:09:27,2013/08/23 19:09:27 PDT,"18.1 km from Mt St Helens, WA",46.3153,-122.3555,14.2,8.8
60033713,0.7,l,1377307796.52,2013/08/24 01:29:56,2013/08/23 18:29:56 PDT,"19.3 km from Mt St Helens, WA",46.3262,-122.3605,13.6,8.4
60580347,0.7,l,1377582843.37,2013/08/27 05:54:03,2013/08/26 22:54:03 PDT,"17.4 km from Mt St Helens, WA",46.3085,-122.3517,12.9,8.0
60578442,0.7,l,1377312075.67,2013/08/24 02:41:15,2013/08/23 19:41:15 PDT,"17.7 km from Mt St Helens, WA",46.3108,-122.3540,13.0,8.1
60575797,0.6,l,1376964320.55,2013/08/20 02:05:20,2013/08/19 19:05:20 PDT,"17.6 km from Mt St Helens, WA",46.3073,-122.3568,12.5,7.7
60578352,0.6,l,1377306938.65,2013/08/24 01:15:38,2013/08/23 18:15:38 PDT,"17.5 km from Mt St Helens, WA",46.3077,-122.3545,12.9,8.0
60578532,0.6,l,1377324343.61,2013/08/24 06:05:43,2013/08/23 23:05:43 PDT,"19.7 km from Mt St Helens, WA",46.316,-122.3833,12.8,7.9
60578592,0.6,l,1377343155.16,2013/08/24 11:19:15,2013/08/24 04:19:15 PDT,"17.7 km from Mt St Helens, WA",46.3108,-122.3537,12.8,7.9
60579157,0.6,l,1377460242.95,2013/08/25 19:50:42,2013/08/25 12:50:42 PDT,"17.4 km from Mt St Helens, WA",46.3088,-122.3513,12.7,7.9
60579482,0.5,l,1377478827.22,2013/08/26 01:00:27,2013/08/25 18:00:27 PDT,"17.7 km from Mt St Helens, WA",46.312,-122.3535,12.8,7.9
60580412,0.5,l,1377611905.57,2013/08/27 13:58:25,2013/08/27 06:58:25 PDT,"0.9 km from Mt St Helens, WA",46.1997,-122.1802,1.3,0.8
60578482,0.5,l,1377314263.87,2013/08/24 03:17:43,2013/08/23 20:17:43 PDT,"19.0 km from Mt St Helens, WA",46.3187,-122.3662,13.7,8.5
60578767,0.5,l,1377378128.2,2013/08/24 21:02:08,2013/08/24 14:02:08 PDT,"17.8 km from Mt St Helens, WA",46.3093,-122.3578,12.8,8.0
60578257,0.5,l,1377300212.33,2013/08/23 23:23:32,2013/08/23 16:23:32 PDT,"17.8 km from Mt St Helens, WA",46.31,-122.3573,12.1,7.5
60579002,0.5,l,1377446441.82,2013/08/25 16:00:41,2013/08/25 09:00:41 PDT,"0.8 km from Mt St Helens, WA",46.1982,-122.1822,1.5,0.9
60578402,0.5,l,1377309878.66,2013/08/24 02:04:38,2013/08/23 19:04:38 PDT,"19.1 km from Mt St Helens, WA",46.323,-122.3625,12.8,7.9
60578207,0.5,l,1377295378.2,2013/08/23 22:02:58,2013/08/23 15:02:58 PDT,"17.6 km from Mt St Helens, WA",46.3085,-122.3562,12.7,7.9
60578432,0.5,l,1377311435.66,2013/08/24 02:30:35,2013/08/23 19:30:35 PDT,"17.8 km from Mt St Helens, WA",46.3197,-122.3427,13.5,8.4
60578497,0.5,l,1377316318.38,2013/08/24 03:51:58,2013/08/23 20:51:58 PDT,"18.0 km from Mt St Helens, WA",46.3113,-122.3588,13.8,8.5
60033708,0.5,l,1377307763.11,2013/08/24 01:29:23,2013/08/23 18:29:23 PDT,"18.8 km from Mt St Helens, WA",46.3223,-122.3570,13.0,8.1
60578467,0.4,l,1377313569.69,2013/08/24 03:06:09,2013/08/23 20:06:09 PDT,"18.5 km from Mt St Helens, WA",46.3168,-122.3597,13.5,8.3
60578412,0.4,l,1377310281.52,2013/08/24 02:11:21,2013/08/23 19:11:21 PDT,"17.6 km from Mt St Helens, WA",46.3127,-122.3497,13.7,8.5
60578552,0.4,l,1377329667.4,2013/08/24 07:34:27,2013/08/24 00:34:27 PDT,"17.9 km from Mt St Helens, WA",46.3085,-122.3610,13.0,8.1
60578567,0.4,l,1377336861.79,2013/08/24 09:34:21,2013/08/24 02:34:21 PDT,"16.5 km from Mt St Helens, WA",46.2955,-122.3542,16.9,10.4
60578367,0.4,l,1377307686.71,2013/08/24 01:28:06,2013/08/23 18:28:06 PDT,"17.5 km from Mt St Helens, WA",46.3085,-122.3540,12.7,7.8
60578362,0.4,l,1377307521.12,2013/08/24 01:25:21,2013/08/23 18:25:21 PDT,"17.4 km from Mt St Helens, WA",46.3085,-122.3528,12.4,7.7
60033608,0.4,l,1377299393.14,2013/08/23 23:09:53,2013/08/23 16:09:53 PDT,"17.4 km from Mt St Helens, WA",46.3088,-122.3515,12.8,7.9
60578227,0.4,l,1377296864.42,2013/08/23 22:27:44,2013/08/23 15:27:44 PDT,"17.5 km from Mt St Helens, WA",46.3063,-122.3570,13.0,8.1
60578192,0.4,l,1377294431.25,2013/08/23 21:47:11,2013/08/23 14:47:11 PDT,"19.5 km from Mt St Helens, WA",46.3193,-122.3752,12.2,7.6
60578457,0.3,l,1377312754.63,2013/08/24 02:52:34,2013/08/23 19:52:34 PDT,"17.9 km from Mt St Helens, WA",46.3103,-122.3583,12.7,7.9
60581912,0.3,l,1377847624.67,2013/08/30 07:27:04,2013/08/30 00:27:04 PDT,"18.1 km from Mt St Helens, WA",46.3128,-122.3583,14.1,8.8
60578427,0.3,l,1377311278,2013/08/24 02:27:58,2013/08/23 19:27:58 PDT,"19.3 km from Mt St Helens, WA",46.3132,-122.3793,12.7,7.9
60579187,0.2,l,1377463700.7,2013/08/25 20:48:20,2013/08/25 13:48:20 PDT,"17.7 km from Mt St Helens, WA",46.3088,-122.3578,12.8,7.9
60578462,0.1,l,1377313066.57,2013/08/24 02:57:46,2013/08/23 19:57:46 PDT,"17.6 km from Mt St Helens, WA",46.3113,-122.3515,13.4,8.3
60580027,0.1,l,1377538535.78,2013/08/26 17:35:35,2013/08/26 10:35:35 PDT,"1.0 km from Mt St Helens, WA",46.199,-122.1787,1.5,0.9
60578547,0.0,d,1377328769.1,2013/08/24 07:19:29,2013/08/24 00:19:29 PDT,"18.0 km from Mt St Helens, WA",46.3133,-122.3558,12.9,8.0
60576222,0.0,l,1377083068.42,2013/08/21 11:04:28,2013/08/21 04:04:28 PDT,"0.7 km from Mt St Helens, WA",46.1988,-122.1833,1.9,1.2
60033808,-0.1,d,1377460263.3,2013/08/25 19:51:03,2013/08/25 12:51:03 PDT,"16.8 km from Mt St Helens, WA",46.3092,-122.3393,13.0,8.1
60580032,-0.5,d,1377538892.69,2013/08/26 17:41:32,2013/08/26 10:41:32 PDT,"0.9 km from Mt St Helens, WA",46.2015,-122.1808,2.1,1.3
60579777,-0.8,d,1377503321.54,2013/08/26 07:48:41,2013/08/26 00:48:41 PDT,"1.3 km from Mt St Helens, WA",46.199,-122.1755,1.4,0.9
